id,txt
A0A1B0GTS1,HSFX4 (HSFX4) | A0A1B0GTS1
A0A1B0GTU1,ZC3H11B (ZC11B) | A0A1B0GTU1
A0A1B0GTU2,CTXND1 (CTXD1) | A0A1B0GTU2
A0A1B0GTW7,LMLN2 (LMLN2) | A0A1B0GTW7
A0A1B0GTY4,TEX50 (TEX50) | A0A1B0GTY4
A0A1B0GTZ2,CCDC196 (CC196) | A0A1B0GTZ2
A0A1B0GU29,SMIM28 (SIM28) | A0A1B0GU29
A0A1B0GU33,TEX53 (TEX53) | A0A1B0GU33
A0A1B0GU71,CFAP97D2 (C97D2) | A0A1B0GU71
A0A1B0GUA5,SMIM32 (SIM32) | A0A1B0GUA5
A0A1B0GUA6,CCDC195 (CC195) | A0A1B0GUA6
A0A1B0GUA7,TEX51 (TEX51) | A0A1B0GUA7
A0A1B0GUA9,C13orf46 (CM046) | A0A1B0GUA9
A0A1B0GUC4,MYOCOS (MYCOS) | A0A1B0GUC4
A0A1B0GUI7,BRD3OS (BRDOS) | A0A1B0GUI7
A0A1B0GUJ8,PNMA8C (PNM8C) | A0A1B0GUJ8
A0A1B0GUQ0,FAM236A (F236A) | A0A1B0GUQ0
A0A1B0GUS0,C19orf85 (CS085) | A0A1B0GUS0
A0A1B0GUS4,UBE2L5 (UB2L5) | A0A1B0GUS4
A0A1B0GUT2,C10orf143 (CJ143) | A0A1B0GUT2
A0A1B0GUU1,C17orf113 (CQ113) | A0A1B0GUU1
A0A1B0GUV1,C17orf114 (CQ114) | A0A1B0GUV1
A0A1B0GUV7,TEX48 (TEX48) | A0A1B0GUV7
A0A1B0GUW6,  (SPEM3) | A0A1B0GUW6
A0A1B0GUW7,SMIM27 (SIM27) | A0A1B0GUW7
A0A1B0GUX0,ATP6V1FNB (VAFNB) | A0A1B0GUX0
A0A1B0GUY1,MARCOL (MRCOL) | A0A1B0GUY1
A0A1B0GV03,GOLGA6L7 (GG6L7) | A0A1B0GV03
A0A1B0GV22,FAM236B (F236B) | A0A1B0GV22
A0A1B0GV85,REELD1 (RELD1) | A0A1B0GV85
A0A1B0GV90,CTXND2 (CTXD2) | A0A1B0GV90
A0A1B0GVD1,FAM237B (F237B) | A0A1B0GVD1
A0A1B0GVG4,CCDC194 (CC194) | A0A1B0GVG4
A0A1B0GVG6,TEX54 (TEX54) | A0A1B0GVG6
A0A1B0GVH4,PRSS51 (PRS51) | A0A1B0GVH4
A0A1B0GVH6,C13orf42 (CM042) | A0A1B0GVH6
A0A1B0GVH7,IQCM (IQCM) | A0A1B0GVH7
A0A1B0GVK7,FAM240A (F240A) | A0A1B0GVK7
A0A1B0GVM5,ETDC (ETDC) | A0A1B0GVM5
A0A1B0GVM6,C11orf97 (CK097) | A0A1B0GVM6
A0A1B0GVN3,C2orf92 (CB092) | A0A1B0GVN3
A0A1B0GVQ0,SPAAR (SPAR) | A0A1B0GVQ0
A0A1B0GVQ0-2,SPAAR (SPAR) | A0A1B0GVQ0-2
A0A1B0GVQ3,CCDC200 (CC200) | A0A1B0GVQ3
A0A1B0GVR7,FAM240C (F240C) | A0A1B0GVR7
A0A1B0GVS7,MDFIC2 (MDFI2) | A0A1B0GVS7
A0A1B0GVS7-2,MDFIC2 (MDFI2) | A0A1B0GVS7-2
A0A1B0GVT2,SMIM36 (SIM36) | A0A1B0GVT2
A0A1B0GVV1,SMIM35 (SIM35) | A0A1B0GVV1
A0A1B0GVX0,LITAFD (LITAD) | A0A1B0GVX0
A0A1B0GVY4,SMIM31 (SIM31) | A0A1B0GVY4
A0A1B0GVZ2,FAM240B (F240B) | A0A1B0GVZ2
A0A1B0GVZ6,MBD3L2B (MB3LB) | A0A1B0GVZ6
A0A1B0GVZ9,TMEM269 (TM269) | A0A1B0GVZ9
A0A1B0GW35,EXOC1L (EXC1L) | A0A1B0GW35
A0A1B0GW54,SMIM39 (SIM39) | A0A1B0GW54
A0A1B0GW64,SMIM33 (SIM33) | A0A1B0GW64
A0A1B0GWB2,PRRT1B (PRT1B) | A0A1B0GWB2
A0A1B0GWG4,SERTM2 (SRTM2) | A0A1B0GWG4
A0A1B0GWH4,HSFX3 (HSFX3) | A0A1B0GWH4
A0A1B0GWK0,PVALEF (PVLEF) | A0A1B0GWK0
A0A1B0GX31,TRBV7-6 (TVB76) | A0A1B0GX31
A0A1B0GX49,TRBV6-4 (TVB64) | A0A1B0GX49
A0A1B0GX51,TRBV7-8 (TVB78) | A0A1B0GX51
A0A1B0GX56,TRDV1 (TRDV1) | A0A1B0GX56
A0A1B0GX68,TRBV2 (TVB2) | A0A1B0GX68
A0A1B0GX78,TRBV12-5 (TVBL5) | A0A1B0GX78
A0A1B0GX95,TRBV7-4 (TVB74) | A0A1B0GX95
A0A1B0GXF2,TRBV7-2 (TVB72) | A0A1B0GXF2
A0A1W2PP97,THSD8 (THSD8) | A0A1W2PP97
A0A1W2PPF3,DUXB (DUXB) | A0A1W2PPF3
A0A1W2PPG7,GNG14 (GBG14) | A0A1W2PPG7
A0A1W2PPM1,CPHXL (CPHXL) | A0A1W2PPM1
A0A1W2PQ73,ERFL (ERFL) | A0A1W2PQ73
A0A1W2PR19,GSTT4 (GSTT4) | A0A1W2PR19
A0A1W2PR48,TLE7 (TLE7) | A0A1W2PR48
A0A1W2PR82,PERCC1 (PERC1) | A0A1W2PR82
A0A1W2PRP0,FOXL3 (FOXL3) | A0A1W2PRP0
A0A1W2PS18,PMIS2 (PMIS2) | A0A1W2PS18
A0A286YEV6,SCYGR4 (SCGR4) | A0A286YEV6
A0A286YEX9,SCYGR10 (SCGRX) | A0A286YEX9
A0A286YEY9,SCYGR1 (SCGR1) | A0A286YEY9
A0A286YF01,SCYGR7 (SCGR7) | A0A286YF01
A0A286YF46,SCYGR5 (SCGR5) | A0A286YF46
A0A286YF58,TMEM271 (TM271) | A0A286YF58
A0A286YF60,SCYGR3 (SCGR3) | A0A286YF60
A0A286YF77,SCYGR6 (SCGR6) | A0A286YF77
A0A286YFB4,SCYGR2 (SCGR2) | A0A286YFB4
A0A286YFG1,SCYGR8 (SCGR8) | A0A286YFG1
